1	2	3	4	5
1530	10310690.66	9441759.916	11179621.4	0
1529	10312046.2	9443115.458	11180976.95	0
1528	10311616.06	9442685.312	11180546.8	0
1527	10309603.57	9440672.825	11178534.31	0
1526	10306254.51	9437323.764	11175185.25	0
1525	10301852.09	9432921.345	11170782.83	0
1524	10296710.89	9427780.149	11165641.64	0
1523	10291169.79	9422239.045	11160100.53	0
1522	10285584.04	9416653.299	11154514.79	0
1521	10280316.78	9411386.037	11149247.53	0
1520	10275730.01	9406799.27	11144660.76	0
1519	10272175.45	9403244.706	11141106.19	0
1518	10269985.32	9401054.577	11138916.07	0
1517	10269463.45	9400532.709	11138394.2	0
1516	10270876.82	9401946.075	11139807.56	0
1515	10274447.8	9405517.054	11143378.54	0
1514	10280347.34	9411416.598	11149278.09	0
1513	10288689.26	9430201.263	11147177.26	0
1512	10299525.77	9441037.774	11158013.77	0
1511	10312844.48	9454356.482	11171332.47	0
1510	10328566.86	9470078.863	11187054.86	0
1509	10346548.35	9488060.352	11205036.34	0
1508	10366580.05	9508092.051	11225068.04	0
1507	10388392.05	9529904.056	11246880.05	0
1506	10411658.35	9553170.35	11270146.34	0
1505	10436003.18	9577515.183	11294491.18	0
1504	10461008.81	9602520.81	11319496.8	0
1503	10486224.42	9627736.425	11344712.42	0
1502	10511176.1	9652688.1	11369664.09	0
1501	10535377.52	9674894.586	11395860.45	0
1500	10558341.25	9697858.318	11418824.18	0
1499	10579590.3	9719107.367	11440073.23	0
1498	10598669.68	9738186.753	11459152.62	0
1497	10615157.75	9754674.818	11475640.68	0
1496	10628676.94	9768194.013	11489159.88	0
1495	10638903.81	9778420.875	11499386.74	0
1494	10645577.89	9785094.962	11506060.83	0
1493	10648509.45	9788026.519	11508992.38	0
1492	10647585.59	9787102.66	11508068.52	0
1491	10642774.84	9782291.911	11503257.77	0
1490	10634129.91	9773646.98	11494612.84	0
1489	10621788.58	9761305.644	11482271.51	0
1488	10605972.67	9745489.736	11466455.6	0
1487	10586985.12	9726502.193	11447468.06	0
1486	10565205.15	9704722.22	11425688.08	0
1485	10541081.59	9680598.659	11401564.52	0
1484	10515124.6	9654641.668	11375607.53	0
1483	10487895.83	9627412.898	11348378.76	0
1482	10459997.28	9599514.351	11320480.21	0
1481	10432059.1	9600464.818	11263653.38	0
1480	10404726.52	9573132.237	11236320.8	0
1479	10378646.32	9547052.038	11210240.6	0
1478	10354453	9522858.719	11186047.28	0
1477	10332755.03	9465495.571	11200014.5	0
1476	10314121.49	9446862.03	11181380.96	0
1475	10299069.31	9431809.847	11166328.77	0
1474	10288051.52	9420792.057	11155310.98	0
1473	10281446.69	9414187.227	11148706.15	0
1472	10279549.8	9412290.339	11146809.27	0
1471	10282564.8	9415305.337	11149824.26	0
1470	10290598.95	9423339.487	11157858.41	0
1469	10303659.17	9436399.708	11170918.63	0
1468	10321650.4	9454390.935	11188909.86	0
1467	10344376.05	9477116.586	11211635.51	0
1466	10371540.56	9504281.096	11238800.02	0
1465	10402753.97	9535494.509	11270013.44	0
1464	10437538.46	9570278.996	11304797.92	0
1463	10475336.66	9608077.2	11342596.13	0
1462	10515521.67	9648262.205	11382781.13	0
1461	10557408.41	9690148.945	11424667.87	0
1460	10600266.26	9733006.796	11467525.72	0
1459	10643332.56	9776073.101	11510592.03	0
1458	10685826.81	9818567.35	11553086.28	0
1457	10726965.17	9859705.704	11594224.63	0
1456	10765975.05	9898715.588	11633234.51	0
1455	10802109.51	9934850.048	11669368.97	0
1454	10834661.04	9967401.576	11701920.5	0
1453	10862974.61	9995715.144	11730234.07	0
1452	10886459.64	10019200.18	11753719.11	0
1451	10904600.73	10037341.26	11771860.19	0
1450	10916966.8	10049707.34	11784226.27	0
1449	10923218.75	10055959.29	11790478.22	0
1448	10923115.2	10055855.73	11790374.66	0
1447	10916516.4	10049256.94	11783775.86	0
1446	10903386.31	10036126.85	11770645.77	0
1445	10883792.65	10016533.18	11751052.11	0
1444	10857905.08	9990645.618	11725164.54	0
1443	10825991.63	9958732.167	11693251.09	0
1442	10788413.29	9935961.915	11640864.67	0
1441	10745617.11	9893165.734	11598068.49	0
1440	10698127.83	9845676.45	11550579.2	0
1439	10646538.29	9794086.909	11498989.66	0
1438	10591498.83	9739047.453	11443950.21	0
1437	10533705.89	9681254.517	11386157.27	0
1436	10473890.04	9621438.664	11326341.42	0
1435	10412803.67	9560352.294	11265255.05	0
1434	10351208.64	9498757.26	11203660.01	0
1433	10289864.02	9437412.647	11142315.4	0
1432	10229514.27	9377062.893	11081965.65	0
1431	10170877.88	9318426.505	11023329.26	0
1430	10114636.9	9262185.521	10967088.27	0
1429	10061427.28	9208975.903	10913878.66	0
1428	10011830.38	9159378.999	10864281.75	0
1427	9966365.562	9113914.185	10818816.94	0
1426	9925484.163	9073032.786	10777935.54	0
1425	9889564.688	9037113.312	10742016.06	0
1424	9858909.445	9006458.069	10711360.82	0
1423	9833742.503	8981291.126	10686193.88	0
1422	9814209.004	8961757.627	10666660.38	0
1421	9800375.766	8947924.389	10652827.14	0
1420	9792233.108	8939781.731	10644684.48	0
1419	9789697.806	8937246.43	10642149.18	0
